Date,Number of Visitors
Jan-91,177400
Feb-91,190600
Mar-91,189200
Apr-91,168000
May-91,161400
Jun-91,172200
Jul-91,208300
Aug-91,199300
Sep-91,197400
Oct-91,216000
Nov-91,223900
Dec-91,266800
Jan-92,196100
Feb-92,238200
Mar-92,217800
Apr-92,203800
May-92,175200
Jun-92,176900
Jul-92,219300
Aug-92,199100
Sep-92,190000
Oct-92,229300
Nov-92,255000
Dec-92,302400
Jan-93,242800
Feb-93,245500
Mar-93,257900
Apr-93,226300
May-93,213400
Jun-93,204600
Jul-93,244600
Aug-93,239900
Sep-93,224000
Oct-93,267200
Nov-93,285900
Dec-93,344000
Jan-94,250500
Feb-94,304300
Mar-94,307400
Apr-94,255100
May-94,214900
Jun-94,230900
Jul-94,282500
Aug-94,265400
Sep-94,254000
Oct-94,301600
Nov-94,311000
Dec-94,384000
Jan-95,303800
Feb-95,319100
Mar-95,313500
Apr-95,294200
May-95,244800
Jun-95,261400
Jul-95,329700
Aug-95,304900
Sep-95,268600
Oct-95,320700
Nov-95,342900
Dec-95,422300
Jan-96,317200
Feb-96,392700
Mar-96,365600
Apr-96,333200
May-96,261500
Jun-96,306900
Jul-96,358200
Aug-96,329200
Sep-96,309200
Oct-96,350400
Nov-96,375600
Dec-96,465200
Jan-97,342900
Feb-97,408000
Mar-97,390900
Apr-97,325900
May-97,289100
Jun-97,308200
Jul-97,397400
Aug-97,330400
Sep-97,330900
Oct-97,366500
Nov-97,379500
Dec-97,448300
Jan-98,346200
Feb-98,353600
Mar-98,338600
Apr-98,341100
May-98,283400
Jun-98,304200
Jul-98,372300
Aug-98,323700
Sep-98,323900
Oct-98,354800
Nov-98,367900
Dec-98,457600
Jan-99,351000
Feb-99,398600
Mar-99,389000
Apr-99,334100
May-99,298100
Jun-99,317100
Jul-99,388500
Aug-99,355600
Sep-99,353100
Oct-99,397000
Nov-99,416700
Dec-99,460800
Jan-00,360800
Feb-00,434600
Mar-00,411900
Apr-00,405600
May-00,319300
Jun-00,347900
Jul-00,429000
Aug-00,372900
Sep-00,403000
Oct-00,426500
Nov-00,459900
Dec-00,559900
Jan-01,416600
Feb-01,429200
Mar-01,428700
Apr-01,405400
May-01,330200
Jun-01,370000
Jul-01,446900
Aug-01,384600
Sep-01,366300
Oct-01,378500
Nov-01,376200
Dec-01,523200
Jan-02,379300
Feb-02,437200
Mar-02,446500
Apr-02,360300
May-02,329900
Jun-02,339400
Jul-02,418200
Aug-02,371900
Sep-02,358600
Oct-02,428900
Nov-02,437000
Dec-02,534000
Jan-03,396600
Feb-03,427500
Mar-03,392500
Apr-03,321500
May-03,260900
Jun-03,308300
Jul-03,415500
Aug-03,362200
Sep-03,385600
Oct-03,435300
Nov-03,473300
Dec-03,566600
Jan-04,420200
Feb-04,454800
Mar-04,432300
Apr-04,402800
May-04,341300
Jun-04,367300
Jul-04,467600
Aug-04,403100
Sep-04,393500
Oct-04,447400
Nov-04,478000
Dec-04,591400
Jan-05,456900
Feb-05,498800
Mar-05,502100
Apr-05,406600
May-05,351300
Jun-05,377000
Jul-05,497000
Aug-05,429300
Sep-05,412100
Oct-05,461900
Nov-05,470700
Dec-05,599300
Jan-06,461400
Feb-06,485000
Mar-06,473400
Apr-06,435000
May-06,342900
Jun-06,379700
Jul-06,478200
Aug-06,410200
Sep-06,423500
Oct-06,472900
Nov-06,490000
Dec-06,640900
Jan-07,451000
Feb-07,510200
Mar-07,520000
Apr-07,434900
May-07,364700
Jun-07,398000
Jul-07,479600
Aug-07,432500
Sep-07,431500
Oct-07,460900
Nov-07,494400
Dec-07,611100
Jan-08,436300
Feb-08,535700
Mar-08,507700
Apr-08,419100
May-08,376200
Jun-08,377300
Jul-08,523800
Aug-08,413800
Sep-08,397200
Oct-08,450200
Nov-08,468400
Dec-08,606700
Jan-09,446100
Feb-09,495500
Mar-09,481900
Apr-09,448700
May-09,368800
Jun-09,357600
Jul-09,452500
Aug-09,408300
Sep-09,432300
Oct-09,477700
Nov-09,478500
Dec-09,642300
Jan-10,441100
Feb-10,549000
Mar-10,520900
Apr-10,422600
May-10,370300
Jun-10,398700
Jul-10,505300
Aug-10,446100
Sep-10,468800
Oct-10,486200
Nov-10,510500
Dec-10,670600
Jan-11,464700
Feb-11,547600
Mar-11,492900
Apr-11,454600
May-11,378200
Jun-11,382900
Jul-11,495800
Aug-11,460800
Sep-11,424700
Oct-11,489400
Nov-11,512400
Dec-11,666800
Jan-12,486600
Feb-12,544400
Mar-12,535500
Apr-12,456600
May-12,386900
Jun-12,412100
Jul-12,489900
Aug-12,488700
Sep-12,465300
Oct-12,504800
Nov-12,548300
Dec-12,713100
Jan-13,474700
Feb-13,596000
Mar-13,580600
Apr-13,451800
May-13,406100
Jun-13,442500
Jul-13,523600
Aug-13,523500
Sep-13,488300
Oct-13,534700
Nov-13,575300
Dec-13,785200
Jan-14,551800
Feb-14,631200
Mar-14,595800
Apr-14,526400
May-14,470100
Jun-14,455000
Jul-14,586800
Aug-14,538800
Sep-14,517500
Oct-14,588100
Nov-14,610400
Dec-14,812200
Jan-15,549900
Feb-15,723700
Mar-15,676300
Apr-15,552400
May-15,486700
Jun-15,489000
Jul-15,627500
Aug-15,574100
Sep-15,571900
Oct-15,625200
Nov-15,669000
Dec-15,898700
Jan-16,620500
Feb-16,796800
Mar-16,754600
Apr-16,610800
May-16,542000
Jun-16,555800
Jul-16,716000
Aug-16,632600
Sep-16,647200
Oct-16,694300
Nov-16,720500
Dec-16,971800
