likes,comments,shares,date
14743,124,97,2022/02/27
1171849,20418,6350,2022/02/27
18284,130,745,2022/02/27
1426423,60915,14909,2022/02/27
384042,55,797,2022/02/27
776715,25585,9307,2022/02/26
9427930,124423,53026,2022/02/26
538385,83,2143,2022/02/26
20332,170,208,2022/02/26
844335,12927,1876,2022/02/26
511752,192,1723,2022/02/26
1239225,44950,12617,2022/02/26
6351,54,8,2022/02/26
122,0,0,2022/02/26
123007,4178,347,2022/02/26
795064,35617,5014,2022/02/26
149824,114,595,2022/02/25
505169,146,1501,2022/02/25
607765,21893,2718,2022/02/25
73852,16,638,2022/02/25
83494,15,653,2022/02/25
17526,132,125,2022/02/25
15231,185,127,2022/02/25
675338,20515,7388,2022/02/25
12135,1023,83,2022/02/25
818790,21422,13808,2022/02/25
304276,153,3005,2022/02/25
484532,11741,5194,2022/02/25
25668,25,394,2022/02/25
416527,8608,10117,2022/02/25
5095839,71307,24331,2022/02/24
